k=( 0.00000, 0.00000, 0.00000),
 symmetry operator indices in G_k:
   1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26   27   28   29   30   31   32   33   34   35   36   37   38   39   40   41   42   43   44   45   46   47   48 
level=  1   2.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   1.41421+( 0.00000)i   1.41421+(-0.00000)i  -0.00000+( 0.00000)i  -0.00000+(-0.00000)i   1.41421+( 0.00000)i   1.41421+(-0.00000)i   0.00000+( 0.00000)i  -0.00000+(-0.00000)i   1.41421+( 0.00000)i   1.41421+(-0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   2.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i   1.41421+(-0.00000)i   1.41421+( 0.00000)i   0.00000+(-0.00000)i  -0.00000+(-0.00000)i   1.41421+( 0.00000)i   1.41421+(-0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i   1.41421+( 0.00000)i   1.41421+(-0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i 
level=  2   4.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i  -0.00000+( 0.00000)i  -0.00000+( 0.00000)i  -0.00000+( 0.00000)i  -0.00000+(-0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i  -0.00000+(-0.00000)i   0.00000+( 0.00000)i  -0.00000+(-0.00000)i   0.00000+(-0.00000)i  -0.00000+( 0.00000)i  -0.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i   4.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i  -0.00000+(-0.00000)i   0.00000+( 0.00000)i  -0.00000+( 0.00000)i  -0.00000+(-0.00000)i  -0.00000+(-0.00000)i  -0.00000+(-0.00000)i   0.00000+(-0.00000)i  -0.00000+( 0.00000)i   0.00000+(-0.00000)i  -0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i 
level=  3   4.00000+( 0.00000)i  -0.00000+( 0.00000)i   0.00000+( 0.00000)i  -0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i  -0.00000+( 0.00000)i  -0.00000+(-0.00000)i   0.00000+( 0.00000)i  -0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i  -0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+(-0.00000)i  -4.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i  -0.00000+(-0.00000)i  -0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i  -0.00000+(-0.00000)i  -0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i  -0.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i 
level=  4   2.00000+( 0.00000)i  -0.00000+(-0.00000)i  -0.00000+( 0.00000)i  -0.00000+(-0.00000)i  -0.00000+( 0.00000)i  -0.00000+( 0.00000)i   1.41421+(-0.00000)i   1.41421+( 0.00000)i  -0.00000+(-0.00000)i   0.00000+( 0.00000)i   1.41421+( 0.00000)i   1.41421+(-0.00000)i  -0.00000+( 0.00000)i   0.00000+( 0.00000)i   1.41421+( 0.00000)i   1.41421+(-0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i  -2.00000+( 0.00000)i   0.00000+( 0.00000)i  -0.00000+(-0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i  -1.41421+(-0.00000)i  -1.41421+( 0.00000)i  -0.00000+( 0.00000)i   0.00000+( 0.00000)i  -1.41421+( 0.00000)i  -1.41421+( 0.00000)i   0.00000+(-0.00000)i  -0.00000+(-0.00000)i  -1.41421+(-0.00000)i  -1.41421+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i 
level=  5   2.00000+( 0.00000)i  -0.00000+(-0.00000)i  -0.00000+( 0.00000)i   0.00000+(-0.00000)i  -0.00000+(-0.00000)i  -0.00000+( 0.00000)i   1.41421+(-0.00000)i   1.41421+( 0.00000)i  -0.00000+( 0.00000)i  -0.00000+( 0.00000)i   1.41421+( 0.00000)i   1.41421+(-0.00000)i  -0.00000+( 0.00000)i   0.00000+(-0.00000)i   1.41421+(-0.00000)i   1.41421+( 0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i  -2.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i  -1.41421+( 0.00000)i  -1.41421+(-0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i  -1.41421+( 0.00000)i  -1.41421+( 0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i  -1.41421+(-0.00000)i  -1.41421+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i 
level=  6   4.00000+( 0.00000)i  -0.00000+( 0.00000)i   0.00000+(-0.00000)i  -0.00000+( 0.00000)i  -0.00000+( 0.00000)i  -0.00000+(-0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i  -0.00000+( 0.00000)i   0.00000+(-0.00000)i  -0.00000+( 0.00000)i  -0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+( 0.00000)i  -4.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i  -0.00000+(-0.00000)i  -0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i  -0.00000+( 0.00000)i   0.00000+(-0.00000)i  -0.00000+(-0.00000)i  -0.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i 
level=  7   2.00000+( 0.00000)i  -0.00000+(-0.00000)i  -0.00000+(-0.00000)i  -0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i  -1.41421+(-0.00000)i  -1.41421+( 0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i  -1.41421+(-0.00000)i  -1.41421+( 0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i  -1.41421+( 0.00000)i  -1.41421+(-0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i  -2.00000+(-0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i  -0.00000+(-0.00000)i  -0.00000+(-0.00000)i   1.41421+( 0.00000)i   1.41421+(-0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i   1.41421+( 0.00000)i   1.41421+( 0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i   1.41421+( 0.00000)i   1.41421+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i 
level=  8   4.00000+( 0.00000)i  -0.00000+( 0.00000)i  -0.00000+( 0.00000)i  -0.00000+( 0.00000)i  -0.00000+( 0.00000)i  -0.00000+(-0.00000)i  -0.00000+( 0.00000)i  -0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i  -0.00000+(-0.00000)i   0.00000+( 0.00000)i  -0.00000+(-0.00000)i  -0.00000+(-0.00000)i  -0.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -4.00000+( 0.00000)i   0.00000+( 0.00000)i  -0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i  -0.00000+(-0.00000)i  -0.00000+( 0.00000)i  -0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i 
level=  9   4.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i  -0.00000+(-0.00000)i  -0.00000+(-0.00000)i  -0.00000+( 0.00000)i  -0.00000+(-0.00000)i   0.00000+(-0.00000)i  -0.00000+( 0.00000)i  -0.00000+(-0.00000)i  -0.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i   4.00000+( 0.00000)i   0.00000+(-0.00000)i  -0.00000+(-0.00000)i   0.00000+(-0.00000)i  -0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i  -0.00000+(-0.00000)i  -0.00000+( 0.00000)i  -0.00000+( 0.00000)i  -0.00000+(-0.00000)i  -0.00000+( 0.00000)i  -0.00000+(-0.00000)i  -0.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i 
level= 10   4.00000+( 0.00000)i   0.00000+( 0.00000)i  -0.00000+(-0.00000)i   0.00000+(-0.00000)i  -0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i  -0.00000+(-0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i  -0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i  -0.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i   4.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i  -0.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i 
level= 11   2.00000+( 0.00000)i  -0.00000+( 0.00000)i   0.00000+(-0.00000)i  -0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i  -1.41421+( 0.00000)i  -1.41421+(-0.00000)i  -0.00000+( 0.00000)i   0.00000+(-0.00000)i  -1.41421+( 0.00000)i  -1.41421+(-0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i  -1.41421+(-0.00000)i  -1.41421+(-0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   2.00000+(-0.00000)i  -0.00000+(-0.00000)i   0.00000+(-0.00000)i  -0.00000+(-0.00000)i  -0.00000+( 0.00000)i   0.00000+(-0.00000)i  -1.41421+(-0.00000)i  -1.41421+( 0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i  -1.41421+( 0.00000)i  -1.41421+(-0.00000)i  -0.00000+(-0.00000)i  -0.00000+( 0.00000)i  -1.41421+(-0.00000)i  -1.41421+( 0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i 
level= 12   2.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i   1.41421+(-0.00000)i   1.41421+( 0.00000)i  -0.00000+(-0.00000)i   0.00000+(-0.00000)i   1.41421+(-0.00000)i   1.41421+( 0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i   1.41421+(-0.00000)i   1.41421+( 0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   2.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   1.41421+(-0.00000)i   1.41421+( 0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i   1.41421+(-0.00000)i   1.41421+( 0.00000)i   0.00000+( 0.00000)i  -0.00000+( 0.00000)i   1.41421+( 0.00000)i   1.41421+( 0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i 
level= 13   2.00000+( 0.00000)i   0.00000+( 0.00000)i  -0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   1.41421+( 0.00000)i   1.41421+(-0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i   1.41421+( 0.00000)i   1.41421+( 0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   1.41421+(-0.00000)i   1.41421+( 0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i   2.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   1.41421+( 0.00000)i   1.41421+(-0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i   1.41421+( 0.00000)i   1.41421+(-0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i   1.41421+(-0.00000)i   1.41421+( 0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i 
level= 14   4.00000+( 0.00000)i  -0.00000+(-0.00000)i   0.00000+(-0.00000)i  -0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i  -0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i  -0.00000+(-0.00000)i   0.00000+( 0.00000)i  -0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i  -0.00000+( 0.00000)i   0.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i   4.00000+( 0.00000)i  -0.00000+(-0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i  -0.00000+( 0.00000)i  -0.00000+(-0.00000)i   0.00000+( 0.00000)i  -0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i  -0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+( 0.00000)i  -1.00000+(-0.00000)i 
level= 15   2.00000+( 0.00000)i  -0.00000+( 0.00000)i  -0.00000+( 0.00000)i  -0.00000+(-0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i  -1.41421+(-0.00000)i  -1.41421+( 0.00000)i  -0.00000+(-0.00000)i   0.00000+( 0.00000)i  -1.41421+( 0.00000)i  -1.41421+( 0.00000)i   0.00000+(-0.00000)i  -0.00000+(-0.00000)i  -1.41421+(-0.00000)i  -1.41421+( 0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   2.00000+( 0.00000)i  -0.00000+(-0.00000)i   0.00000+(-0.00000)i  -0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i  -1.41421+(-0.00000)i  -1.41421+( 0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i  -1.41421+( 0.00000)i  -1.41421+( 0.00000)i   0.00000+( 0.00000)i  -0.00000+(-0.00000)i  -1.41421+(-0.00000)i  -1.41421+(-0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i 
level= 16   4.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i  -0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i  -0.00000+(-0.00000)i  -0.00000+( 0.00000)i  -0.00000+(-0.00000)i  -0.00000+(-0.00000)i  -0.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+( 0.00000)i   4.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i  -0.00000+(-0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i  -0.00000+( 0.00000)i  -0.00000+(-0.00000)i  -0.00000+(-0.00000)i   0.00000+(-0.00000)i  -0.00000+( 0.00000)i   0.00000+( 0.00000)i  -0.00000+(-0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i 
level= 17   4.00000+( 0.00000)i  -0.00000+(-0.00000)i  -0.00000+( 0.00000)i  -0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i  -0.00000+(-0.00000)i  -0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i  -0.00000+( 0.00000)i  -0.00000+(-0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i   4.00000+( 0.00000)i  -0.00000+( 0.00000)i  -0.00000+(-0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i  -0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i  -0.00000+( 0.00000)i  -0.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i 
level= 18   2.00000+( 0.00000)i  -0.00000+( 0.00000)i  -0.00000+( 0.00000)i  -0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i  -1.41421+( 0.00000)i  -1.41421+(-0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i  -1.41421+(-0.00000)i  -1.41421+(-0.00000)i  -0.00000+(-0.00000)i   0.00000+( 0.00000)i  -1.41421+(-0.00000)i  -1.41421+(-0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   2.00000+( 0.00000)i  -0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i  -1.41421+(-0.00000)i  -1.41421+( 0.00000)i  -0.00000+(-0.00000)i   0.00000+( 0.00000)i  -1.41421+(-0.00000)i  -1.41421+( 0.00000)i  -0.00000+(-0.00000)i  -0.00000+( 0.00000)i  -1.41421+( 0.00000)i  -1.41421+(-0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   1.00000+(-0.00000)i 
level= 19   2.00000+( 0.00000)i  -0.00000+( 0.00000)i  -0.00000+( 0.00000)i   0.00000+(-0.00000)i  -0.00000+( 0.00000)i  -0.00000+(-0.00000)i   1.41421+( 0.00000)i   1.41421+(-0.00000)i   0.00000+(-0.00000)i   0.00000+(-0.00000)i   1.41421+( 0.00000)i   1.41421+(-0.00000)i  -0.00000+(-0.00000)i   0.00000+( 0.00000)i   1.41421+(-0.00000)i   1.41421+( 0.00000)i   1.00000+(-0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i   1.00000+( 0.00000)i  -2.00000+(-0.00000)i   0.00000+( 0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i  -0.00000+( 0.00000)i   0.00000+( 0.00000)i  -1.41421+(-0.00000)i  -1.41421+( 0.00000)i  -0.00000+(-0.00000)i  -0.00000+( 0.00000)i  -1.41421+( 0.00000)i  -1.41421+( 0.00000)i   0.00000+(-0.00000)i   0.00000+( 0.00000)i  -1.41421+(-0.00000)i  -1.41421+(-0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+(-0.00000)i  -1.00000+( 0.00000)i  -1.00000+( 0.00000)i  -1.00000+(-0.00000)i  -1.00000+( 0.00000)i 
