k=( 0.00000, 0.00000, 0.00000),
number of irreducible representations:  2
level= 39    2   0
level= 40    2   0
level= 41    0   2
level= 42    0   2
level= 43    0   2
level= 44    2   0
level= 45    0   2
level= 46    2   0
level= 47    0   2
level= 48    2   0
level= 49    2   0
level= 50    0   2
level= 51    2   0
 
k=( 0.50000, 0.50000, 0.00000),
number of irreducible representations:  2
level=  1    2   2
level=  2    2   2
level=  3    2   2
level=  4    2   2
level=  5    2   2
level=  6    0   2
level=  7    2   0
level=  8    2   2
level=  9    2   0
level= 10    0   2
level= 11    0   2
level= 12    2   0
level= 13    2   2
level= 14    2   2
level= 15    2   0
level= 16    0   2
level= 17    0   2
level= 18    2   0
level= 19    2   0
level= 20    0   2
level= 21    0   2
level= 22    2   0
level= 23    0   2
level= 24    2   0
level= 25    2   0
level= 26    0   2
level= 27    2   0
level= 28    0   2
level= 29    2   0
level= 30    0   2
level= 31    2   0
level= 32    0   2
level= 33    0   2
level= 34    2   0
level= 35    2   0
level= 36    0   2
level= 37    0   2
level= 38    2   0
level= 39    0   2
level= 40    2   0
level= 41    0   2
level= 42    2   0
level= 43    0   2
level= 44    2   0
level= 45    2   0
 
k=( 0.50000, 0.50000, 0.50000),
number of irreducible representations:  2
level=  1    2   2
level=  2    2   2
level=  3    2   2
level=  4    2   2
level=  5    2   2
level=  6    2   2
level=  7    2   2
level=  8    2   0
level=  9    0   2
level= 10    0   2
level= 11    2   0
level= 12    2   2
level= 13    0   2
level= 14    2   0
level= 15    2   0
level= 16    0   2
level= 17    0   2
level= 18    2   0
level= 19    0   2
level= 20    2   0
level= 21    2   0
level= 22    0   2
level= 23    2   0
level= 24    0   2
level= 25    0   2
level= 26    2   0
level= 27    0   2
level= 28    2   0
level= 29    0   2
level= 30    2   0
level= 31    0   2
level= 32    2   0
level= 33    0   2
level= 34    2   0
level= 35    0   2
level= 36    2   0
level= 37    2   0
level= 38    0   2
level= 39    2   0
level= 40    0   2
level= 41    2   0
level= 42    0   2
level= 43    2   0
level= 44    0   2
level= 45    0   2
 
